Timestamp;gimbal_y.target_angle;gimbal_y.IMU_actual_angle;gimbal_p.target_angle;gimbal_p.IMU_actual_angle
0;0.000000;-0.115199;0.000000;0.300218
1264;0.000000;-0.115199;0.000000;0.300218
2109;0.000000;-0.115199;0.000000;0.300218
3102;0.000000;-0.115199;0.000000;0.300218
4091;0.000000;-0.115203;0.000000;0.300195
5087;0.000000;-0.115203;0.000000;0.300195
6088;0.000000;-0.115203;0.000000;0.300195
7093;0.000000;-0.115203;0.000000;0.300195
8086;0.000000;-0.115203;0.000000;0.300195
9091;0.000000;-0.115203;0.000000;0.300195
10092;0.000000;-0.115203;0.000000;0.300195
11088;0.000000;-0.115203;0.000000;0.300195
12089;0.000000;-0.115203;0.000000;0.300195
13094;0.000000;-0.115203;0.000000;0.300195
14101;0.000000;-0.115203;0.000000;0.300195
15085;0.000000;-0.115203;0.000000;0.300195
16090;0.000000;-0.115203;0.000000;0.300195
17091;0.000000;-0.115205;0.000000;0.300754
18087;0.000000;-0.115205;0.000000;0.300754
19088;0.000000;-0.115205;0.000000;0.300754
20104;0.000000;-0.115205;0.000000;0.300754
21089;0.000000;-0.115205;0.000000;0.300754
22093;0.000000;-0.115205;0.000000;0.300754
23093;0.000000;-0.115205;0.000000;0.300754
24092;0.000000;-0.115205;0.000000;0.300754
25093;0.000000;-0.115205;0.000000;0.300754
26136;0.000000;-0.115205;0.000000;0.300754
27092;0.000000;-0.115205;0.000000;0.300754
28087;0.000000;-0.115205;0.000000;0.300754
29088;0.000000;-0.115205;0.000000;0.300754
30092;0.000000;-0.115203;0.000000;0.301083
31093;0.000000;-0.115203;0.000000;0.301083
32089;0.000000;-0.115203;0.000000;0.301083
33089;0.000000;-0.115203;0.000000;0.301083
34087;0.000000;-0.115203;0.000000;0.301083
35088;0.000000;-0.115203;0.000000;0.301083
36092;0.000000;-0.115203;0.000000;0.301083
37092;0.000000;-0.115203;0.000000;0.301083
38103;0.000000;-0.115203;0.000000;0.301083
39086;0.000000;-0.115203;0.000000;0.301083
40091;0.000000;-0.115203;0.000000;0.301083
41091;0.000000;-0.115203;0.000000;0.301083
42087;0.000000;-0.115203;0.000000;0.301083
43087;0.000000;-0.115200;0.000000;0.301628
44085;0.000000;-0.115200;0.000000;0.301628
45086;0.000000;-0.115200;0.000000;0.301628
46090;0.000000;-0.115200;0.000000;0.301628
47090;0.000000;-0.115200;0.000000;0.301628
48086;0.000000;-0.115200;0.000000;0.301628
49183;0.000000;-0.115200;0.000000;0.301628
50085;0.000000;-0.115200;0.000000;0.301628
51090;0.000000;-0.115200;0.000000;0.301628
52090;0.000000;-0.115200;0.000000;0.301628
53085;0.000000;-0.115200;0.000000;0.301628
54089;0.000000;-0.115200;0.000000;0.301628
55093;0.000000;-0.115200;0.000000;0.301628
56086;0.000000;-0.115199;0.000000;0.301434
57091;0.000000;-0.115199;0.000000;0.301434
58092;0.000000;-0.115199;0.000000;0.301434
59088;0.000000;-0.115199;0.000000;0.301434
60089;0.000000;-0.115199;0.000000;0.301434
61194;0.000000;-0.115199;0.000000;0.301434
62087;0.000000;-0.115199;0.000000;0.301434
63092;0.000000;-0.115199;0.000000;0.301434
64088;0.000000;-0.115199;0.000000;0.301434
65093;0.000000;-0.115199;0.000000;0.301434
66085;0.000000;-0.115199;0.000000;0.301434
67090;0.000000;-0.115199;0.000000;0.301434
68091;0.000000;-0.115199;0.000000;0.301434
69087;0.000000;-0.115197;0.000000;0.301526
70088;0.000000;-0.115197;0.000000;0.301526
71093;0.000000;-0.115197;0.000000;0.301526
72086;0.000000;-0.115197;0.000000;0.301526
73172;0.000000;-0.115197;0.000000;0.301526
74087;0.000000;-0.115197;0.000000;0.301526
75093;0.000000;-0.115197;0.000000;0.301526
76085;0.000000;-0.115197;0.000000;0.301526
77090;0.000000;-0.115197;0.000000;0.301526
78091;0.000000;-0.115197;0.000000;0.301526
79087;0.000000;-0.115197;0.000000;0.301526
80088;0.000000;-0.115197;0.000000;0.301526
81093;0.000000;-0.115197;0.000000;0.301526
82085;0.000000;-0.115196;0.000000;0.301044
83090;0.000000;-0.115196;0.000000;0.301044
84085;0.000000;-0.115196;0.000000;0.301044
85106;0.000000;-0.115196;0.000000;0.301044
86089;0.000000;-0.115196;0.000000;0.301044
87093;0.000000;-0.115196;0.000000;0.301044
88085;0.000000;-0.115196;0.000000;0.301044
89089;0.000000;-0.115196;0.000000;0.301044
90089;0.000000;-0.115196;0.000000;0.301044
91085;0.000000;-0.115196;0.000000;0.301044
92085;0.000000;-0.115196;0.000000;0.301044
93089;0.000000;-0.115196;0.000000;0.301044
94093;0.000000;-0.115196;0.000000;0.301044
95088;0.000000;-0.115194;0.000000;0.301115
96089;0.000000;-0.115194;0.000000;0.301115
97102;0.000000;-0.115194;0.000000;0.301115
98085;0.000000;-0.115194;0.000000;0.301115
99089;0.000000;-0.115194;0.000000;0.301115
100090;0.000000;-0.115194;0.000000;0.301115
101085;0.000000;-0.115194;0.000000;0.301115
102086;0.000000;-0.115194;0.000000;0.301115
103090;0.000000;-0.115194;0.000000;0.301115
104085;0.000000;-0.115194;0.000000;0.301115
105089;0.000000;-0.115194;0.000000;0.301115
106090;0.000000;-0.115194;0.000000;0.301115
107085;0.000000;-0.115194;0.000000;0.301115
108085;0.000000;-0.115193;0.000000;0.300720
109195;0.000000;-0.115193;0.000000;0.300720
110087;0.000000;-0.115193;0.000000;0.300720
111092;0.000000;-0.115193;0.000000;0.300720
112093;0.000000;-0.115193;0.000000;0.300720
113088;0.000000;-0.115193;0.000000;0.300720
114092;0.000000;-0.115193;0.000000;0.300720
115194;0.000000;-0.115193;0.000000;0.300720
116089;0.000000;-0.115193;0.000000;0.300720
117089;0.000000;-0.115193;0.000000;0.300720
118090;0.000000;-0.115193;0.000000;0.300720
119090;0.000000;-0.115193;0.000000;0.300720
120088;0.000000;-0.115193;0.000000;0.300720
121101;0.000000;-0.115192;0.000000;0.301095
122091;0.000000;-0.115192;0.000000;0.301095
123092;0.000000;-0.115192;0.000000;0.301095
124087;0.000000;-0.115192;0.000000;0.301095
125276;0.000000;-0.115192;0.000000;0.301095
126091;0.000000;-0.115192;0.000000;0.301095
127117;0.000000;-0.115192;0.000000;0.301095
128085;0.000000;-0.115192;0.000000;0.301095
129113;0.000000;-0.115192;0.000000;0.301095
130088;0.000000;-0.115192;0.000000;0.301095
131116;0.000000;-0.115192;0.000000;0.301095
132087;0.000000;-0.115192;0.000000;0.301095
133108;0.000000;-0.115192;0.000000;0.301095
134260;0.000000;-0.115187;0.000000;0.300514
135093;0.000000;-0.115187;0.000000;0.300514
136086;0.000000;-0.115187;0.000000;0.300514
137086;0.000000;-0.115187;0.000000;0.300514
138090;0.000000;-0.115187;0.000000;0.300514
139091;0.000000;-0.115187;0.000000;0.300514
140115;0.000000;-0.115187;0.000000;0.300514
141091;0.000000;-0.115187;0.000000;0.300514
142086;0.000000;-0.115187;0.000000;0.300514
143091;0.000000;-0.115187;0.000000;0.300514
144087;0.000000;-0.115187;0.000000;0.300514
145299;0.000000;-0.115187;0.000000;0.300514
146258;0.000000;-0.115187;0.000000;0.300514
147091;0.000000;-0.115186;0.000000;0.300671
148088;0.000000;-0.115186;0.000000;0.300671
149116;0.000000;-0.115186;0.000000;0.300671
150110;0.000000;-0.115186;0.000000;0.300671
151116;0.000000;-0.115186;0.000000;0.300671
152117;0.000000;-0.115186;0.000000;0.300671
153114;0.000000;-0.115186;0.000000;0.300671
154086;0.000000;-0.115186;0.000000;0.300671
155118;0.000000;-0.115186;0.000000;0.300671
156277;0.000000;-0.115186;0.000000;0.300671
157160;0.000000;-0.115186;0.000000;0.300671
158259;0.000000;-0.115186;0.000000;0.300671
159093;0.000000;-0.115186;0.000000;0.300671
160086;0.000000;-0.115187;0.000000;0.299567
161275;0.000000;-0.115187;0.000000;0.299567
162085;0.000000;-0.115187;0.000000;0.299567
163282;0.000000;-0.115187;0.000000;0.299567
164088;0.000000;-0.115187;0.000000;0.299567
165093;0.000000;-0.115187;0.000000;0.299567
166279;0.000000;-0.115187;0.000000;0.299567
167087;0.000000;-0.115187;0.000000;0.299567
168087;0.000000;-0.115187;0.000000;0.299567
169299;0.000000;-0.115187;0.000000;0.299567
170135;0.000000;-0.115187;0.000000;0.299567
171087;0.000000;-0.115187;0.000000;0.299567
172088;0.000000;-0.115187;0.000000;0.299567
173102;0.000000;-0.115187;0.000000;0.299953
174088;0.000000;-0.115187;0.000000;0.299953
175092;0.000000;-0.115187;0.000000;0.299953
176093;0.000000;-0.115187;0.000000;0.299953
177088;0.000000;-0.115187;0.000000;0.299953
178089;0.000000;-0.115187;0.000000;0.299953
179093;0.000000;-0.115187;0.000000;0.299953
180131;0.000000;-0.115187;0.000000;0.299953
181092;0.000000;-0.115187;0.000000;0.299953
182087;0.000000;-0.115187;0.000000;0.299953
183091;0.000000;-0.115187;0.000000;0.299953
184086;0.000000;-0.115187;0.000000;0.299953
185090;0.000000;-0.115187;0.000000;0.299953
186091;0.000000;-0.115189;0.000000;0.299590
187087;0.000000;-0.115189;0.000000;0.299590
188088;0.000000;-0.115189;0.000000;0.299590
189093;0.000000;-0.115189;0.000000;0.299590
190085;0.000000;-0.115189;0.000000;0.299590
191090;0.000000;-0.115189;0.000000;0.299590
192133;0.000000;-0.115189;0.000000;0.299590
193093;0.000000;-0.115189;0.000000;0.299590
194092;0.000000;-0.115189;0.000000;0.299590
195088;0.000000;-0.115189;0.000000;0.299590
196089;0.000000;-0.115189;0.000000;0.299590
197093;0.000000;-0.115189;0.000000;0.299590
198086;0.000000;-0.115189;0.000000;0.299590
199090;0.000000;-0.115193;0.000000;0.299833
200092;0.000000;-0.115193;0.000000;0.299833
201088;0.000000;-0.115193;0.000000;0.299833
202089;0.000000;-0.115193;0.000000;0.299833
203125;0.000000;-0.115193;0.000000;0.299833
204087;0.000000;-0.115193;0.000000;0.299833
205091;0.000000;-0.115193;0.000000;0.299833
206087;0.000000;-0.115193;0.000000;0.299833
207088;0.000000;-0.115193;0.000000;0.299833
208094;0.000000;-0.115193;0.000000;0.299833
209086;0.000000;-0.115193;0.000000;0.299833
210091;0.000000;-0.115193;0.000000;0.299833
211092;0.000000;-0.115193;0.000000;0.299833
212087;0.000000;-0.115197;0.000000;0.299559
213089;0.000000;-0.115197;0.000000;0.299559
214129;0.000000;-0.115197;0.000000;0.299559
215090;0.000000;-0.115197;0.000000;0.299559
216085;0.000000;-0.115197;0.000000;0.299559
217090;0.000000;-0.115197;0.000000;0.299559
218090;0.000000;-0.115197;0.000000;0.299559
219085;0.000000;-0.115197;0.000000;0.299559
220085;0.000000;-0.115197;0.000000;0.299559
221089;0.000000;-0.115197;0.000000;0.299559
222090;0.000000;-0.115197;0.000000;0.299559
223085;0.000000;-0.115197;0.000000;0.299559
224089;0.000000;-0.115197;0.000000;0.299559
225093;0.000000;-0.115201;0.000000;0.298282
226085;0.000000;-0.115201;0.000000;0.298282
227100;0.000000;-0.115201;0.000000;0.298282
228091;0.000000;-0.115201;0.000000;0.298282
229087;0.000000;-0.115201;0.000000;0.298282
230087;0.000000;-0.115201;0.000000;0.298282
231092;0.000000;-0.115201;0.000000;0.298282
232093;0.000000;-0.115201;0.000000;0.298282
233088;0.000000;-0.115201;0.000000;0.298282
234092;0.000000;-0.115201;0.000000;0.298282
235087;0.000000;-0.115201;0.000000;0.298282
236087;0.000000;-0.115201;0.000000;0.298282
237092;0.000000;-0.115201;0.000000;0.298282
238092;0.000000;-0.115202;0.000000;0.297884
239123;0.000000;-0.115202;0.000000;0.297884
240087;0.000000;-0.115202;0.000000;0.297884
241090;0.000000;-0.115202;0.000000;0.297884
242085;0.000000;-0.115202;0.000000;0.297884
243086;0.000000;-0.115202;0.000000;0.297884
244093;0.000000;-0.115202;0.000000;0.297884
245085;0.000000;-0.115202;0.000000;0.297884
246089;0.000000;-0.115202;0.000000;0.297884
247089;0.000000;-0.115202;0.000000;0.297884
248085;0.000000;-0.115202;0.000000;0.297884
249086;0.000000;-0.115202;0.000000;0.297884
250184;0.000000;-0.115202;0.000000;0.297884
251086;0.000000;-0.115203;0.000000;0.297915
252091;0.000000;-0.115203;0.000000;0.297915
253092;0.000000;-0.115203;0.000000;0.297915
254091;0.000000;-0.115203;0.000000;0.297915
255092;0.000000;-0.115203;0.000000;0.297915
256088;0.000000;-0.115203;0.000000;0.297915
257089;0.000000;-0.115203;0.000000;0.297915
258085;0.000000;-0.115203;0.000000;0.297915
259086;0.000000;-0.115203;0.000000;0.297915
260091;0.000000;-0.115203;0.000000;0.297915
261125;0.000000;-0.115203;0.000000;0.297915
262086;0.000000;-0.115203;0.000000;0.297915
263090;0.000000;-0.115203;0.000000;0.297915
264089;0.000000;-0.115205;0.000000;0.299012
265090;0.000000;-0.115205;0.000000;0.299012
266086;0.000000;-0.115205;0.000000;0.299012
267087;0.000000;-0.115205;0.000000;0.299012
268092;0.000000;-0.115205;0.000000;0.299012
269093;0.000000;-0.115205;0.000000;0.299012
270089;0.000000;-0.115205;0.000000;0.299012
271090;0.000000;-0.115205;0.000000;0.299012
272086;0.000000;-0.115205;0.000000;0.299012
273087;0.000000;-0.115205;0.000000;0.299012
274122;0.000000;-0.115205;0.000000;0.299012
275091;0.000000;-0.115205;0.000000;0.299012
276296;0.000000;-0.115205;0.000000;0.299012
277090;0.000000;-0.115205;0.000000;0.298721
278086;0.000000;-0.115205;0.000000;0.298721
279088;0.000000;-0.115205;0.000000;0.298721
280093;0.000000;-0.115205;0.000000;0.298721
281085;0.000000;-0.115205;0.000000;0.298721
282090;0.000000;-0.115205;0.000000;0.298721
283090;0.000000;-0.115205;0.000000;0.298721
284088;0.000000;-0.115205;0.000000;0.298721
285088;0.000000;-0.115205;0.000000;0.298721
286102;0.000000;-0.115205;0.000000;0.298721
287085;0.000000;-0.115205;0.000000;0.298721
288090;0.000000;-0.115205;0.000000;0.298721
289091;0.000000;-0.115205;0.000000;0.298721
290086;0.000000;-0.115203;0.000000;0.299096
291086;0.000000;-0.115203;0.000000;0.299096
292091;0.000000;-0.115203;0.000000;0.299096
293091;0.000000;-0.115203;0.000000;0.299096
294089;0.000000;-0.115203;0.000000;0.299096
295090;0.000000;-0.115203;0.000000;0.299096
296086;0.000000;-0.115203;0.000000;0.299096
297086;0.000000;-0.115203;0.000000;0.299096
298231;0.000000;-0.115203;0.000000;0.299096
299088;0.000000;-0.115203;0.000000;0.299096
300092;0.000000;-0.115203;0.000000;0.299096
301093;0.000000;-0.115203;0.000000;0.299096
302088;0.000000;-0.115203;0.000000;0.299096
303089;0.000000;-0.115204;0.000000;0.298855
304088;0.000000;-0.115204;0.000000;0.298855
305088;0.000000;-0.115204;0.000000;0.298855
306092;0.000000;-0.115204;0.000000;0.298855
307093;0.000000;-0.115204;0.000000;0.298855
308088;0.000000;-0.115204;0.000000;0.298855
309089;0.000000;-0.115204;0.000000;0.298855
310129;0.000000;-0.115204;0.000000;0.298855
311085;0.000000;-0.115204;0.000000;0.298855
312089;0.000000;-0.115204;0.000000;0.298855
313093;0.000000;-0.115204;0.000000;0.298855
314088;0.000000;-0.115204;0.000000;0.298855
315092;0.000000;-0.115204;0.000000;0.298855
316093;0.000000;-0.115208;0.000000;0.299344
317088;0.000000;-0.115208;0.000000;0.299344
318089;0.000000;-0.115208;0.000000;0.299344
319085;0.000000;-0.115208;0.000000;0.299344
320086;0.000000;-0.115208;0.000000;0.299344
321091;0.000000;-0.115208;0.000000;0.299344
322092;0.000000;-0.115208;0.000000;0.299344
323103;0.000000;-0.115208;0.000000;0.299344
324090;0.000000;-0.115208;0.000000;0.299344
325085;0.000000;-0.115208;0.000000;0.299344
326089;0.000000;-0.115208;0.000000;0.299344
327091;0.000000;-0.115208;0.000000;0.299344
328087;0.000000;-0.115208;0.000000;0.299344
329088;0.000000;-0.115207;0.000000;0.299648
330093;0.000000;-0.115207;0.000000;0.299648
331085;0.000000;-0.115207;0.000000;0.299648
332090;0.000000;-0.115207;0.000000;0.299648
333091;0.000000;-0.115207;0.000000;0.299648
334168;0.000000;-0.115207;0.000000;0.299648
335089;0.000000;-0.115207;0.000000;0.299648
336086;0.000000;-0.115207;0.000000;0.299648
337087;0.000000;-0.115207;0.000000;0.299648
338091;0.000000;-0.115207;0.000000;0.299648
339093;0.000000;-0.115207;0.000000;0.299648
340089;0.000000;-0.115207;0.000000;0.299648
341090;0.000000;-0.115207;0.000000;0.299648
342086;0.000000;-0.115202;0.000000;0.299930
343087;0.000000;-0.115202;0.000000;0.299930
344086;0.000000;-0.115202;0.000000;0.299930
345100;0.000000;-0.115202;0.000000;0.299930
346093;0.000000;-0.115202;0.000000;0.299930
347089;0.000000;-0.115202;0.000000;0.299930
348090;0.000000;-0.115202;0.000000;0.299930
349085;0.000000;-0.115202;0.000000;0.299930
350085;0.000000;-0.115202;0.000000;0.299930
351089;0.000000;-0.115202;0.000000;0.299930
352090;0.000000;-0.115202;0.000000;0.299930
353085;0.000000;-0.115202;0.000000;0.299930
354089;0.000000;-0.115202;0.000000;0.299930
355093;0.000000;-0.115200;0.000000;0.300492
356107;0.000000;-0.115200;0.000000;0.300492
357090;0.000000;-0.115200;0.000000;0.300492
358086;0.000000;-0.115200;0.000000;0.300492
